    OtG       O81qq      O11qq      O83qq      O13qq      O8qt       O1qt       O8ut       O1ut       O8qu       O1qu       O8dt       O1dt       O8qd       O1qd        OtW       OQQ1       OQQ8       OQt1      OQtQb1     OQtQb8      OQt8       OQb1       OQb8       Ott1       Otb1       Otb8        Otp       OpQM       Ofq3        Opt        Off        OtZ        ObW    
  -0.08351   -1.26814    6.59825   -2.87909   -2.03615   -3.38993   -4.59312   -5.04063    0.65243    9.09475    4.06087   -0.38701    7.08648   -0.55973   -0.19447    0.17981   -3.83100    9.18058    5.63536    9.33087   -8.20922   -9.44017    0.62198    9.97008   -9.99704   -8.52474    9.39264   -4.26872    0.47928   -1.62420   -3.86176    7.96161    3.86632   -0.03897
  -0.19797    3.31269   -1.72971    0.01848   -0.39046    1.89917    2.58619    5.68041    1.05123   -6.58994   -9.36918    0.10643   -3.75042    4.81995   -0.61239    0.02225   -8.50052    0.56388    1.23585    6.33253   -0.16569   -0.81437    8.12628    9.38604   13.20151    4.90294   -0.13445    7.60156    0.06394   -0.44800    2.02267    7.45102   -0.05589    1.53542
   0.25160   -0.03602   -3.19358   -2.51480    0.66751    0.93697   -1.34572   -2.25545    1.78416  -12.96794    5.55608    3.23847   -3.69930    2.47584    1.30727    0.08912    0.86049   -3.30900    6.10111    6.25878    6.76595    4.55056    2.26095    4.49071   -9.83029   -1.48403   -5.54304    9.09398    2.72336    5.87549   -4.59307    3.87642   -1.68450    1.62253
   0.25160   -0.03602   -3.19358   -2.51480    0.66751    0.93697   -1.34572   -2.25545    1.78416  -12.96794    5.55608    3.23847   -3.69930    2.47584    1.30727    0.08912    0.86049   -3.30900    6.10111    6.25878    6.76595    4.55056    2.26095    4.49071   -9.83029   -1.48403   -5.54304    9.09398    2.72336    5.87549   -4.59307    3.87642   -1.68450    1.62253
  -0.24515    1.71370   -1.86327    2.28657   -1.08900    1.62068    1.51234    3.03061   -0.21008    4.95213   -0.23582   -4.95528   -0.87612   -1.96404   -1.07644   -2.07454   -9.05543    6.07212    5.16064    6.25365    5.47652   -6.67732    7.35767    4.26089    6.74849    2.33771   -1.17737   -4.11673   -2.16341   -6.15946    1.91019    0.01585   -5.45276   -5.88778
  -0.07428    6.83167    8.30128   -5.16847    2.33955   -2.55875   -6.10547   -5.65915    3.41489    9.87977   -1.58086    4.91164   -5.43020    0.40738  -19.21139   -0.34200    7.72593   -1.65151   -8.75224   12.95431    1.56827   -9.16719    4.48401    2.46377  -14.24018   -2.51281   -1.20926 -1383.37460    4.88985   15.48647    4.67026  -80.97844   -0.81566    2.21209
  -0.07428    6.83167    8.30128   -5.16847    2.33955   -2.55875   -6.10547   -5.65915    3.41489    9.87977   -1.58086    4.91164   -5.43020    0.40738  -19.21139   -0.34200    7.72593   -1.65151   -8.75224   12.95431    1.56827   -9.16719    4.48401    2.46377  -14.24018   -2.51281   -1.20926 -1383.37460    4.88985   15.48647    4.67026  -80.97844   -0.81566    2.21209
  -0.19150    1.02204   -0.26330   -1.34213   -1.86333   -0.53796    2.38798    4.30932    0.02607   -3.41898   -4.10028   -2.22610   -1.89637    6.78387   -0.80231   -1.07644   -2.42444    3.64451    4.05406   -5.27620    7.65463    2.01120   -6.76279   -1.10978   -1.99881   -3.74335    3.39981   -0.02426    0.81232   -2.71814   -1.36711   -5.58055   -1.47769   -0.36731
  -0.22994   -0.73021   -2.93565   -2.83702   -1.60434    1.91240    0.65454    1.20950    0.83428    5.64840   -3.93826   -2.69669    4.93375    9.75352   -1.09218   -2.63648    5.05807   -5.03903   -2.50293   -3.25144   -5.66276    8.48513    6.67856   -3.85094   -0.98814   -3.14534   -5.30904    7.19086    2.57954   -0.44781    2.18674  -10.49234   -0.47605    4.93880
  -0.19015    1.97001    0.83445   -2.39734   -0.98472    0.15441    1.54045   -1.45394    0.85074    1.82859   -2.12079   -0.58131   -6.81835    5.25247   -0.48378    0.46520   -2.59527    4.24731   -3.53075    8.91794   -6.26793    1.08401   -6.48795   -7.66500    1.84188    9.46121    4.40843   -1.26772    2.48135    0.96333    2.05919   -1.50646    0.44962   -0.39430
  -0.10653    1.73454    0.08066   -4.14694   -2.32192   -0.95221    3.65753   -6.77897    1.99248    5.98375   -0.22302    0.73829  -11.79232    4.62445   -0.30954   -0.31718   -9.21923    2.69890   -0.03401   -1.42359   -3.23979   -9.13178    4.83067   -8.17162   -3.57571    8.43302    1.76553    7.09025    3.24232   -0.38013    7.66707   -2.31942   -0.51651   -0.40376
  -0.20887    0.27785    0.62033   -3.10517   -1.85814   -0.02121    2.10508    0.59607   -0.01150    0.94404   -3.85245    4.41933   -0.62015    6.69953   -0.90951   -0.44136    6.10914    8.17922   -4.01342    0.04876    2.59518   -5.44746    4.21225   -8.40466   -1.99861   10.51135   -4.53465   -6.19201    2.56925    0.71021    3.95960   -3.13997   -0.07246    2.84936
  -0.20887    0.27785    0.62033   -3.10517   -1.85814   -0.02121    2.10508    0.59607   -0.01150    0.94404   -3.85245    4.41933   -0.62015    6.69953   -0.90951   -0.44136    6.10914    8.17922   -4.01342    0.04876    2.59518   -5.44746    4.21225   -8.40466   -1.99861   10.51135   -4.53465   -6.19201    2.56925    0.71021    3.95960   -3.13997   -0.07246    2.84936
